com.h2database,h2,1.2.132,"[['CVE-2021-42392', '9.8', 'CRITICAL'], ['CVE-2021-23463', '9.1', 'CRITICAL'], ['CVE-2022-23221', '9.8', 'CRITICAL']]",9.566666666666666,28.7
mysql,mysql-connector-java,5.1.9,"[['CVE-2019-2692', '6.3', 'MEDIUM']]",6.3,6.3
log4j,log4j,1.2.17,"[['CVE-2019-17571', '9.8', 'CRITICAL'], ['CVE-2022-23302', '8.8', 'HIGH'], ['CVE-2022-23305', '9.8', 'CRITICAL'], ['CVE-2021-4104', '7.5', 'HIGH']]",8.975000000000001,35.900000000000006
org.dom4j,dom4j,2.0.2,"[['CVE-2018-1000632', '7.5', 'HIGH'], ['CVE-2020-10683', '9.8', 'CRITICAL']]",8.65,17.3
dom4j,dom4j,1.6.1,"[['CVE-2018-1000632', '7.5', 'HIGH'], ['CVE-2020-10683', '9.8', 'CRITICAL']]",8.65,17.3
ch.qos.logback,logback-core,1.2.8,"[['CVE-2021-42550', '6.6', 'MEDIUM']]",6.6,6.6
org.codehaus.groovy,groovy,2.4.0,"[['CVE-2020-17521', '5.5', 'MEDIUM']]",5.5,5.5
ch.qos.logback,logback-core,1.2.7,"[['CVE-2021-42550', '6.6', 'MEDIUM']]",6.6,6.6
ch.qos.logback,logback-core,1.2.6,"[['CVE-2021-42550', '6.6', 'MEDIUM']]",6.6,6.6
ch.qos.logback,logback-core,1.2.5,"[['CVE-2021-42550', '6.6', 'MEDIUM']]",6.6,6.6
ch.qos.logback,logback-core,1.2.4,"[['CVE-2021-42550', '6.6', 'MEDIUM']]",6.6,6.6
ch.qos.logback,logback-core,1.2.4-groovyless,"[['CVE-2021-42550', '6.6', 'MEDIUM']]",6.6,6.6
ch.qos.logback,logback-core,1.2.3,"[['CVE-2021-42550', '6.6', 'MEDIUM']]",6.6,6.6
ch.qos.logback,logback-core,1.2.2,"[['CVE-2021-42550', '6.6', 'MEDIUM']]",6.6,6.6
ch.qos.logback,logback-core,1.2.1,"[['CVE-2021-42550', '6.6', 'MEDIUM']]",6.6,6.6
ch.qos.logback,logback-core,1.2.0,"[['CVE-2021-42550', '6.6', 'MEDIUM']]",6.6,6.6
ch.qos.logback,logback-core,1.1.11,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,1.1.10,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,1.1.9,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,1.1.8,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,1.1.7,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,1.1.6,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,1.1.5,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,1.1.4,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
ch.qos.logback,logback-core,1.1.3,"[['CVE-2017-5929', '9.8', 'CRITICAL'], ['CVE-2021-42550', '6.6', 'MEDIUM']]",8.2,16.4
